evacion,cliente_genero,cliente_ciudadano_mayor,cliente_pareja,cliente_dependientes,cliente_antiguedad_meses,telefono_servicio,telefono_multiples_lineas,internet_servicio,internet_seguridad_en_linea,internet_respaldo_en_linea,internet_proteccion_dispositivo,internet_soporte_tecnico,internet_streaming_tv,internet_streaming_peliculas,cuenta_contrato,cuenta_facturacion_electronica,cuenta_metodo_pago,cuenta_cargos_mensuales,cuenta_cargos_diarios
0,1,0,1,1,37,1,0,2,0,0,0,0,1,1,1,0,2,91.2,3.04
0,0,0,1,0,49,1,0,0,,,,,,,1,0,3,20.45,0.68
0,1,0,1,0,66,1,1,2,1,1,1,1,1,1,1,0,3,115.8,3.86
0,0,0,0,0,67,1,0,0,,,,,,,1,0,1,20.55,0.68
0,1,0,1,1,20,0,,1,1,0,1,1,0,0,2,1,2,39.4,1.31
0,0,0,0,1,43,1,1,0,,,,,,,2,1,1,25.1,0.84
0,0,0,1,0,55,1,1,2,1,0,0,0,1,0,0,1,3,89.8,2.99
0,0,0,1,0,59,1,1,2,1,1,0,0,1,0,0,1,1,94.75,3.16
0,0,0,1,1,12,1,0,0,,,,,,,2,0,3,20.3,0.68
0,1,0,1,1,27,1,1,2,0,0,0,0,0,0,0,1,3,75.75,2.52
1,1,1,0,0,2,1,0,1,1,0,0,0,0,0,0,1,1,49.25,1.64
0,0,0,0,0,27,1,0,1,0,1,1,1,1,1,1,0,0,78.2,2.61
0,1,0,1,1,25,1,1,0,,,,,,,2,0,2,25.5,0.85
0,1,0,1,1,25,1,0,1,1,1,1,0,0,0,1,1,3,61.6,2.05
0,1,0,0,1,29,0,,1,1,1,1,1,0,0,0,1,0,45.0,1.5
0,1,0,1,0,72,1,1,1,0,1,1,1,1,1,2,1,3,85.15,2.84
0,0,0,0,0,14,1,0,1,0,1,0,0,0,0,1,0,2,51.45,1.72
0,0,0,0,0,35,1,0,2,0,0,1,1,1,1,1,1,1,99.25,3.31
0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,44.3,1.48
0,1,0,0,0,29,1,0,2,0,0,0,1,1,1,0,1,1,94.2,3.14
0,1,0,0,0,64,1,1,1,1,1,1,1,1,0,1,0,1,81.25,2.71
0,0,0,1,1,39,1,1,2,0,0,0,1,1,1,0,1,2,99.95,3.33
0,0,1,0,0,40,1,0,2,0,0,0,0,1,1,0,1,1,91.55,3.05
1,1,0,0,0,40,1,1,2,0,1,1,0,1,1,0,1,2,104.5,3.48
1,0,1,0,0,11,1,0,2,0,1,0,0,1,1,0,1,1,95.0,3.17
0,0,0,1,0,6,1,1,1,0,0,0,0,0,0,0,0,1,50.35,1.68
0,1,0,0,0,30,1,1,1,1,0,0,0,0,1,0,1,0,64.5,2.15
0,1,0,0,0,27,1,0,0,,,,,,,0,1,1,19.4,0.65
0,1,1,1,0,70,1,1,2,0,1,1,0,1,1,1,1,1,104.8,3.49
0,0,0,1,0,57,1,1,2,0,1,1,1,1,1,1,1,3,109.4,3.65
0,1,0,1,0,58,1,0,1,0,0,1,0,0,0,1,0,2,50.3,1.68
0,1,0,0,0,16,1,1,1,0,1,1,0,0,1,0,1,3,71.4,2.38
0,0,0,1,0,69,1,1,2,1,1,1,1,1,1,2,1,1,116.0,3.87
1,1,0,0,0,1,1,0,0,,,,,,,0,1,1,19.85,0.66
1,1,0,0,1,1,1,1,2,0,0,1,0,1,1,0,1,1,99.75,3.32
0,1,1,1,1,32,1,0,2,0,1,0,0,1,1,0,1,0,93.95,3.13
0,1,0,1,1,16,1,1,2,0,0,1,0,1,0,0,1,3,90.8,3.03
1,1,0,1,0,49,1,1,1,1,0,1,1,1,1,1,0,1,84.35,2.81
0,0,0,1,0,71,0,,1,0,1,1,1,1,1,2,0,3,58.25,1.94
0,0,0,0,0,33,1,1,2,0,1,1,0,1,1,0,0,1,107.55,3.58
0,0,0,1,0,10,1,0,0,,,,,,,0,1,3,19.95,0.66
1,1,0,1,0,21,1,1,2,0,1,1,1,1,1,0,1,1,111.2,3.71
1,1,0,1,1,37,0,,1,1,1,1,0,0,0,0,0,3,40.2,1.34
0,0,1,0,0,26,1,0,2,1,0,0,0,1,0,0,1,2,85.8,2.86
0,1,0,0,0,50,0,,1,1,0,0,1,0,0,1,1,0,35.4,1.18
1,0,0,0,0,7,1,1,2,0,0,0,0,0,0,0,1,1,73.85,2.46
0,0,0,1,1,61,1,1,1,1,1,1,1,1,1,2,0,0,88.1,2.94
1,1,0,0,0,15,1,0,2,0,0,1,1,1,1,0,1,1,101.35,3.38
0,0,0,0,1,26,0,,1,1,0,0,1,0,1,0,0,0,45.8,1.53
0,1,0,1,0,72,1,0,2,0,0,1,0,1,1,0,1,1,94.65,3.16
0,1,0,1,1,44,1,0,0,,,,,,,1,1,3,20.5,0.68
0,1,0,0,0,66,1,1,2,0,1,0,0,0,1,0,0,2,89.4,2.98
1,0,0,0,0,2,1,0,2,1,1,0,1,0,0,0,1,1,86.25,2.88
0,0,1,0,0,44,1,0,1,0,0,1,1,1,1,1,0,3,74.85,2.49
1,0,0,0,0,12,1,1,2,0,1,0,0,1,0,0,1,3,89.75,2.99
0,1,1,1,0,69,1,1,2,0,1,1,1,1,1,2,1,1,109.95,3.66
1,0,0,0,0,1,1,1,2,0,1,0,0,0,0,0,1,0,80.2,2.67
1,0,0,0,0,3,1,0,0,,,,,,,0,0,0,19.85,0.66
0,0,0,1,0,2,1,0,2,1,1,0,0,1,0,0,0,1,90.35,3.01
0,0,1,0,0,27,1,1,2,0,1,1,0,0,0,0,1,3,86.45,2.88
0,1,0,0,0,26,1,0,0,,,,,,,0,1,1,20.3,0.68
0,0,1,1,0,39,1,1,2,0,0,0,1,1,1,0,1,1,101.25,3.38
1,1,0,0,0,25,1,1,2,0,0,0,0,1,1,0,1,3,94.7,3.16
1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,70.9,2.36
1,1,0,1,0,22,1,0,1,1,0,0,1,0,0,0,1,1,54.2,1.81
0,0,0,0,0,72,1,1,2,1,1,1,1,1,1,2,1,1,114.9,3.83
0,0,0,0,0,24,1,0,0,,,,,,,2,1,3,19.55,0.65
0,0,0,1,0,19,1,1,2,0,0,0,0,1,0,0,1,1,86.85,2.9
0,1,0,1,1,71,1,1,0,,,,,,,2,0,2,25.35,0.85
0,1,1,1,0,33,1,1,2,1,0,1,1,1,1,0,1,3,109.9,3.66
0,0,0,0,0,3,1,0,0,,,,,,,0,0,0,19.95,0.66
0,1,0,1,1,47,1,1,2,0,1,0,0,1,0,0,0,1,87.2,2.91
0,1,0,1,1,62,1,0,2,1,1,1,1,1,1,2,0,0,108.15,3.6
0,1,0,0,0,71,1,1,2,1,1,1,1,1,1,1,1,3,116.3,3.88
0,1,1,1,0,7,1,0,2,0,0,0,0,1,1,0,1,1,89.0,2.97
0,0,0,1,1,27,1,0,2,1,0,0,0,0,0,0,0,0,74.4,2.48
0,1,0,0,0,2,1,0,0,,,,,,,0,0,0,20.05,0.67
0,0,0,0,1,25,0,,1,1,0,0,1,0,0,2,0,3,35.05,1.17
0,1,1,0,0,30,1,0,1,1,1,0,0,1,1,0,1,1,74.75,2.49
1,0,1,1,0,58,1,0,2,1,1,0,1,1,1,1,1,2,105.5,3.52
1,1,0,1,0,10,1,1,2,0,0,0,0,0,1,0,1,1,85.25,2.84
0,0,0,0,0,9,1,1,2,0,0,0,0,0,0,0,1,2,75.2,2.51
1,0,1,1,0,6,1,1,2,0,0,0,0,0,1,0,1,1,84.35,2.81
0,0,0,1,1,69,1,1,2,1,0,1,0,0,0,1,0,3,84.45,2.82
0,0,1,0,0,66,1,1,2,1,0,0,0,1,1,2,1,3,102.4,3.41
1,0,0,0,0,70,1,1,2,1,1,1,1,1,1,1,0,2,115.55,3.85
1,1,0,0,0,25,1,1,0,,,,,,,1,0,3,25.3,0.84
0,0,0,1,1,46,1,0,0,,,,,,,2,1,0,19.25,0.64
0,0,0,1,0,54,1,1,2,1,1,1,1,1,1,1,1,0,114.65,3.82
1,0,0,0,0,15,1,0,2,1,0,1,1,1,1,0,0,1,105.1,3.5
0,0,0,1,1,12,1,0,0,,,,,,,0,0,3,19.4,0.65
0,0,0,0,0,22,0,,1,0,1,0,0,1,1,0,1,1,50.35,1.68
0,0,0,1,0,70,0,,1,0,1,1,1,1,1,2,0,3,57.8,1.93
0,1,0,0,0,30,1,0,2,1,1,1,0,0,0,0,1,2,84.3,2.81
0,1,0,1,1,71,1,1,2,0,1,0,0,1,1,1,0,3,100.55,3.35
0,1,0,1,0,30,1,0,0,,,,,,,1,0,2,19.8,0.66
1,1,0,1,1,4,1,1,2,0,1,1,0,0,0,0,1,3,84.8,2.83
1,1,0,0,0,2,1,0,2,0,0,1,0,0,1,0,1,1,85.85,2.86
0,1,0,0,1,10,1,0,0,,,,,,,1,1,3,19.95,0.66
0,1,1,0,0,4,1,0,2,1,0,0,0,0,0,0,0,1,75.35,2.51
0,1,1,0,0,52,0,,1,1,0,0,0,1,1,0,1,2,48.8,1.63
1,1,0,0,0,5,1,1,1,0,0,0,0,0,0,0,0,1,47.15,1.57
0,1,0,1,1,8,1,0,0,,,,,,,2,0,0,20.15,0.67
0,0,1,0,0,2,1,0,1,0,0,0,0,0,0,0,1,1,44.3,1.48
0,1,0,0,0,3,1,0,2,0,1,0,0,0,1,0,0,1,84.3,2.81
0,1,0,0,0,19,1,1,1,0,0,1,1,0,0,0,0,1,59.55,1.98
0,1,0,0,0,72,1,1,1,1,1,1,1,0,0,2,0,3,69.65,2.32
0,1,1,1,0,63,0,,1,1,0,0,1,0,0,1,0,3,36.1,1.2
0,1,0,1,0,66,0,,1,1,1,1,1,1,0,2,1,3,56.6,1.89
1,1,0,0,0,1,1,0,2,0,0,0,1,0,0,0,1,1,75.9,2.53
0,0,0,0,0,60,1,1,2,0,0,1,0,0,0,1,1,3,79.2,2.64
0,0,0,1,1,48,0,,1,1,0,1,0,0,1,1,0,2,45.0,1.5
1,0,0,0,0,1,1,0,2,0,0,1,0,1,0,0,1,2,85.55,2.85
1,1,0,0,0,15,1,1,2,0,0,0,0,1,1,0,1,1,93.35,3.11
0,0,0,1,0,50,1,1,2,1,1,0,1,1,1,0,1,3,109.65,3.66
0,1,0,1,1,72,1,1,1,1,1,1,1,1,1,2,0,2,89.7,2.99
0,0,0,0,0,46,1,1,2,1,1,0,0,0,0,0,0,0,84.25,2.81
0,0,0,1,1,72,1,1,1,1,1,1,1,1,1,2,0,3,92.65,3.09
0,1,0,1,1,1,1,0,0,,,,,,,0,0,0,19.7,0.66
0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,50.1,1.67
0,0,1,0,0,67,1,0,2,1,1,0,1,1,0,2,1,3,92.45,3.08
0,0,0,1,1,48,1,1,1,0,1,0,1,1,1,2,0,1,79.65,2.66
0,0,0,0,0,72,1,0,2,1,1,1,1,1,1,2,1,1,109.9,3.66
0,1,0,1,0,52,1,1,1,1,1,1,1,0,1,1,1,2,81.4,2.71
0,0,0,1,1,67,1,0,1,0,1,0,0,0,0,1,0,2,50.55,1.68
1,0,0,1,1,28,1,0,2,0,0,0,0,0,1,0,1,1,81.05,2.7
0,0,0,1,1,32,1,1,1,0,1,1,0,0,0,0,0,3,62.45,2.08
1,0,1,1,0,27,1,0,2,1,0,0,0,0,0,0,1,3,75.2,2.51
0,1,0,0,0,3,1,0,2,0,1,1,0,0,1,0,0,1,90.4,3.01
1,1,0,0,0,2,1,1,2,0,0,0,0,1,0,0,1,1,85.65,2.86
1,0,0,0,1,9,1,0,1,0,0,1,1,1,1,0,1,0,72.9,2.43
0,1,0,1,1,50,1,1,1,1,0,0,1,1,0,2,1,2,70.5,2.35
0,0,0,1,1,71,1,0,0,,,,,,,2,0,3,20.1,0.67
1,1,1,1,0,32,1,1,2,0,0,0,0,0,0,0,1,1,74.9,2.5
0,0,0,1,1,16,1,0,2,1,0,1,0,1,1,0,0,3,100.7,3.36
0,0,0,1,1,67,1,1,2,0,0,1,1,1,1,2,1,3,105.65,3.52
0,1,0,1,1,72,1,1,2,1,1,1,1,1,1,2,1,2,114.3,3.81
1,0,0,0,0,3,1,0,0,,,,,,,0,0,1,19.75,0.66
0,1,0,1,1,23,1,1,0,,,,,,,1,0,0,24.35,0.81
0,1,0,1,1,72,1,1,1,1,1,1,1,0,0,2,0,3,69.85,2.33
0,1,0,1,1,7,0,,1,1,1,1,0,1,1,0,0,0,58.85,1.96
0,1,0,1,1,8,1,0,1,0,0,0,0,1,0,0,1,1,54.4,1.81
0,1,0,1,1,66,0,,1,0,0,0,1,1,1,2,0,3,50.55,1.68
1,1,0,0,0,5,1,0,0,,,,,,,0,0,0,21.05,0.7
1,1,0,0,0,49,1,1,2,0,1,1,0,1,1,0,1,3,103.7,3.46
0,1,0,1,0,63,1,0,0,,,,,,,2,1,3,19.95,0.66
0,0,1,1,1,12,0,,1,0,0,0,1,0,0,0,1,0,29.3,0.98
0,1,0,1,1,27,1,0,1,1,1,0,0,0,0,0,1,2,54.75,1.82
0,0,0,0,0,35,1,0,1,1,1,1,0,0,0,0,0,1,60.55,2.02
0,0,0,1,1,54,1,1,1,0,1,1,1,1,1,0,1,1,86.2,2.87
1,1,0,0,0,1,1,1,2,0,0,0,0,1,1,0,1,1,95.45,3.18
0,1,0,0,0,5,1,0,1,0,0,1,1,1,0,0,1,2,63.95,2.13
0,1,0,0,0,19,1,0,1,0,1,0,1,0,1,1,1,3,65.35,2.18
0,1,0,1,1,52,0,,1,0,1,1,1,1,0,2,0,0,50.2,1.67
0,0,0,1,1,72,0,,1,1,1,1,1,1,1,2,1,3,63.8,2.13
0,1,0,0,0,32,1,0,0,,,,,,,2,1,3,20.05,0.67
1,0,0,1,0,8,1,0,2,0,1,1,0,1,1,0,0,1,101.15,3.37
0,1,0,0,0,41,1,1,1,0,0,1,0,0,1,1,0,0,65.0,2.17
0,1,0,0,0,5,1,0,0,,,,,,,0,1,0,19.25,0.64
0,0,0,0,1,11,0,,1,1,0,0,1,0,0,1,1,0,36.05,1.2
1,1,0,0,0,5,1,0,2,0,0,0,1,1,1,0,1,1,96.1,3.2
0,0,0,0,0,16,1,0,0,,,,,,,1,0,0,19.05,0.64
0,1,1,0,0,71,1,1,2,0,1,0,1,1,1,1,0,3,105.75,3.52
0,0,0,0,0,11,0,,1,0,1,1,1,0,0,1,1,2,40.4,1.35
1,0,0,1,1,61,1,1,2,0,1,0,0,1,1,0,1,1,99.15,3.3
0,0,0,1,0,71,1,0,1,1,1,1,1,1,1,1,1,3,84.8,2.83
0,1,0,0,0,9,1,0,0,,,,,,,0,0,0,19.85,0.66
0,0,0,0,0,6,1,0,1,1,0,0,0,0,0,0,1,1,49.45,1.65
1,0,0,0,0,26,1,0,2,0,0,0,0,1,1,0,1,3,88.8,2.96
0,0,0,0,0,6,1,0,1,1,1,0,0,0,0,0,0,0,55.15,1.84
0,1,0,0,0,11,1,0,2,0,0,1,0,0,1,0,0,1,84.8,2.83
1,1,0,1,0,1,1,0,2,0,0,0,0,1,0,0,1,1,80.55,2.68
0,0,0,1,0,49,1,0,0,,,,,,,2,1,3,20.15,0.67
0,0,0,1,1,3,1,0,1,0,1,0,0,1,0,0,1,2,58.7,1.96
0,0,0,0,0,53,1,0,2,1,1,1,1,0,1,2,0,0,99.5,3.32
1,1,0,1,1,23,1,0,2,1,0,0,1,1,1,0,1,1,99.85,3.33
1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,45.35,1.51
1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,48.55,1.62
0,1,0,0,1,3,1,1,0,,,,,,,2,1,0,26.4,0.88
1,0,1,1,0,68,1,1,2,0,1,0,0,1,1,0,1,1,100.2,3.34
1,1,0,0,0,8,1,0,2,0,0,1,0,1,1,0,1,1,94.7,3.16
0,0,0,1,0,70,1,1,2,0,0,1,0,1,1,1,1,1,97.65,3.26
0,1,0,1,1,39,1,1,2,0,0,1,0,1,1,1,0,1,100.0,3.33
1,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,70.1,2.34
1,0,0,0,0,3,1,0,2,0,1,0,1,1,1,0,1,1,97.9,3.26
0,1,0,1,0,60,1,1,2,0,1,1,0,1,1,1,0,3,102.5,3.42
1,0,0,1,0,5,1,0,2,0,0,0,0,0,0,0,0,1,69.95,2.33
1,1,1,0,0,3,1,1,2,0,1,0,0,0,0,0,1,1,81.35,2.71
0,0,0,1,0,55,1,1,1,1,1,0,1,0,0,1,1,2,66.05,2.2
0,1,0,0,0,72,0,,1,1,0,1,1,1,1,2,1,2,61.2,2.04
0,1,1,1,0,72,1,0,1,1,1,1,1,1,0,2,0,3,74.4,2.48
1,0,0,0,0,41,1,1,2,0,1,1,0,1,1,0,1,1,106.3,3.54
0,1,0,0,0,60,0,,1,1,1,1,0,0,0,2,0,3,39.6,1.32
1,0,0,0,0,6,1,0,2,0,0,0,0,1,1,0,0,1,89.3,2.98
0,0,0,1,0,46,1,1,2,0,1,1,1,1,1,2,1,2,108.9,3.63
0,0,0,0,0,15,1,0,0,,,,,,,0,0,0,19.9,0.66
1,0,0,1,0,58,1,1,2,0,0,1,1,1,1,0,1,2,102.1,3.4
0,1,0,1,1,23,1,0,0,,,,,,,2,0,2,19.6,0.65
1,0,1,1,1,31,1,0,2,0,0,1,1,1,1,0,1,1,98.9,3.3
0,1,0,1,0,11,1,0,1,0,0,0,0,0,0,0,1,3,45.9,1.53
0,0,1,0,0,56,1,1,2,0,1,1,1,1,0,2,1,3,99.9,3.33
0,0,0,0,1,25,1,0,0,,,,,,,0,0,2,20.05,0.67
0,0,0,0,0,68,0,,1,1,1,1,1,1,1,2,0,2,64.35,2.14
0,0,0,0,0,40,1,0,0,,,,,,,2,0,2,19.65,0.65
1,1,0,0,0,36,1,1,2,0,0,0,0,0,1,0,1,1,84.9,2.83
1,1,0,0,0,32,1,1,2,1,1,0,1,1,1,0,1,2,108.15,3.6
0,1,0,1,1,71,1,1,1,1,1,1,1,1,1,2,0,3,86.85,2.9
0,1,0,1,0,17,1,1,2,0,1,1,0,1,1,0,1,1,102.55,3.42
0,1,0,1,0,18,1,0,2,0,0,1,1,0,0,0,0,1,78.2,2.61
0,0,0,0,0,37,1,1,2,1,1,1,0,0,0,0,0,3,91.2,3.04
0,1,0,0,0,2,1,0,0,,,,,,,0,0,0,19.35,0.64
0,0,0,1,1,28,1,0,2,0,0,0,0,0,0,1,1,3,70.4,2.35
0,1,0,0,0,9,0,,1,1,1,1,0,0,0,1,0,0,39.55,1.32
0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,50.15,1.67
0,1,0,1,0,65,1,0,0,,,,,,,2,1,2,20.4,0.68
0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,1,44.6,1.49
1,0,0,0,0,1,0,,1,0,0,0,0,1,0,0,1,1,34.7,1.16
0,1,0,1,0,36,1,0,2,1,0,0,0,1,1,0,1,1,93.6,3.12
1,1,0,0,0,23,1,1,2,0,0,0,1,1,0,0,1,1,90.6,3.02
0,1,0,1,1,22,1,0,1,1,1,0,1,0,0,0,1,0,57.95,1.93
0,0,0,1,0,72,1,1,2,1,1,1,1,1,1,2,0,2,112.1,3.74
1,0,0,1,1,17,1,1,2,0,0,1,0,1,0,0,0,1,88.25,2.94
1,0,0,0,0,3,1,0,2,0,0,0,1,0,1,0,0,1,85.8,2.86
1,1,0,1,0,58,1,0,1,1,1,1,0,0,0,1,0,2,60.3,2.01
0,1,0,1,1,67,1,0,1,1,1,1,0,1,1,2,0,2,81.35,2.71
0,1,1,0,0,34,1,0,2,0,1,1,0,1,1,1,1,1,99.85,3.33
0,1,0,0,0,10,1,0,0,,,,,,,0,0,2,20.0,0.67
0,0,0,0,0,69,1,1,1,1,0,1,1,1,1,2,1,2,85.35,2.84
0,1,0,0,0,40,0,,1,1,1,1,0,1,1,1,0,2,62.05,2.07
0,1,0,0,0,20,1,0,1,1,0,1,0,0,1,0,0,2,64.4,2.15
0,0,0,1,1,46,1,0,0,,,,,,,2,0,0,19.4,0.65
1,0,0,1,0,2,1,0,2,1,0,0,0,0,0,0,1,1,74.4,2.48
1,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,1,0,70.45,2.35
0,0,0,1,0,72,1,1,2,1,0,1,0,1,1,2,1,2,105.0,3.5
0,1,0,1,1,70,1,1,0,,,,,,,2,0,2,25.15,0.84
0,0,0,0,0,2,1,0,0,,,,,,,0,0,0,19.3,0.64
0,1,0,0,1,23,1,0,1,0,1,0,1,0,0,0,1,3,55.3,1.84
0,1,0,1,0,36,1,1,2,0,0,0,0,1,1,0,1,1,95.4,3.18
1,1,1,1,0,59,1,1,2,0,0,0,0,1,1,0,1,3,93.85,3.13
0,1,0,0,0,67,1,0,0,,,,,,,2,0,3,20.5,0.68
0,1,0,1,1,72,1,1,2,1,0,1,0,1,1,2,1,3,105.55,3.52
1,0,0,0,0,37,1,1,2,0,1,1,0,1,1,0,1,3,101.9,3.4
0,0,0,1,1,72,1,1,0,,,,,,,2,0,3,24.45,0.82
0,1,0,1,0,72,1,0,0,,,,,,,2,0,2,19.7,0.66
1,1,0,0,0,3,1,1,2,0,0,0,0,0,0,0,1,1,74.4,2.48
1,0,1,1,0,54,1,1,2,0,1,0,0,1,1,1,1,2,101.5,3.38
1,1,0,1,0,60,1,1,2,0,1,1,0,1,0,0,1,1,95.75,3.19
0,0,0,1,0,58,1,1,2,1,1,1,0,1,1,1,1,2,110.65,3.69
0,0,0,1,0,31,1,0,2,0,1,0,0,0,1,0,1,3,83.85,2.8
0,0,0,0,0,3,1,1,1,0,0,0,0,1,0,0,1,1,60.25,2.01
0,1,0,0,0,55,1,0,1,1,0,1,1,0,0,2,1,1,59.2,1.97
1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,44.4,1.48
0,1,0,1,0,49,1,0,2,0,1,0,0,1,0,0,1,2,85.3,2.84
1,1,0,0,1,8,0,,1,0,0,0,0,0,0,0,0,0,25.5,0.85
0,0,1,0,0,39,1,1,2,0,0,1,0,1,1,0,1,1,99.75,3.32
0,1,0,1,0,66,1,1,1,1,1,1,0,0,0,2,1,2,66.1,2.2
0,0,0,1,1,15,1,0,0,,,,,,,1,0,0,20.55,0.68
0,0,0,1,0,51,1,1,2,0,0,1,0,1,1,1,1,1,98.85,3.3
0,1,1,0,0,9,1,0,1,0,0,0,1,0,0,0,0,0,49.2,1.64
1,0,0,0,0,1,1,0,0,,,,,,,0,0,0,20.9,0.7
0,1,0,0,0,25,1,0,0,,,,,,,1,1,3,19.5,0.65
0,1,0,1,0,22,1,0,2,0,0,1,0,1,0,0,1,3,87.0,2.9
0,1,0,0,0,15,1,1,1,0,0,0,0,0,0,0,1,1,49.0,1.63
1,0,0,1,1,28,1,0,2,0,0,0,0,1,1,1,1,3,90.1,3.0
0,1,0,0,0,3,1,0,2,0,0,0,0,1,1,0,0,0,90.7,3.02
0,0,0,1,0,47,1,1,2,0,0,1,0,1,1,0,1,1,100.5,3.35
0,0,0,0,0,67,1,1,1,1,0,1,1,1,1,2,1,0,85.25,2.84
0,0,1,0,0,18,1,0,2,0,1,0,0,0,0,0,1,1,74.7,2.49
0,1,0,1,0,62,1,0,1,0,1,1,1,0,0,2,1,2,60.15,2.0
0,0,0,0,0,41,1,1,1,0,1,1,0,1,1,1,1,1,80.55,2.68
0,0,0,0,0,44,1,1,1,0,0,0,0,0,0,0,1,0,50.15,1.67
0,0,0,0,0,53,1,0,2,0,1,1,1,0,1,1,1,2,94.45,3.15
0,1,0,1,0,48,1,0,0,,,,,,,2,1,0,20.05,0.67
0,0,1,1,0,54,1,1,2,1,1,1,1,1,1,1,1,3,115.6,3.85
1,0,0,1,0,48,0,,1,1,0,1,0,0,1,0,1,3,45.3,1.51
0,1,0,0,0,24,1,1,2,0,1,0,0,1,1,0,1,3,99.65,3.32
0,1,0,0,0,33,1,0,2,0,1,0,1,0,0,2,0,3,80.6,2.69
0,1,0,1,0,66,1,1,1,1,1,0,1,1,1,2,0,1,85.25,2.84
0,0,0,1,1,3,1,0,2,0,0,0,0,0,0,0,1,1,69.55,2.32
0,0,0,0,0,13,0,,1,0,0,1,1,0,0,2,0,0,35.4,1.18
0,1,0,1,1,63,1,1,1,1,1,1,0,1,1,2,0,2,83.5,2.78
1,0,0,1,1,23,1,0,2,0,1,1,1,0,0,0,0,1,83.8,2.79
0,1,0,0,1,52,1,1,0,,,,,,,2,0,2,25.6,0.85
0,1,0,0,0,3,1,0,0,,,,,,,0,1,2,20.75,0.69
0,1,0,0,0,10,1,0,1,0,0,0,0,0,1,0,1,3,56.75,1.89
0,0,0,1,1,72,1,0,0,,,,,,,2,0,3,20.1,0.67
0,1,0,0,0,29,1,0,2,0,0,1,1,1,1,0,1,2,98.8,3.29
